District,SiteName,orgUnit,Phone,Trigger,Quota
Balaka District,Balaka District Hospital,j5oOLMizv5z,265994942266.0,1,3.0
Balaka District,Balaka Dream Clinic,LGgn98LBbLd,,0,
Balaka District,Balaka Opd Health Centre,jqrPuUmg6s7,,0,
Balaka District,Chiendausiku Health Centre,CRh3FO2zYXj,,0,
Balaka District,Chimatilo Health Centre,bgxJVBAiqdV,,1,4.0
Balaka District,Comfort Clinic,hUzVx0gGEbD,,0,
Balaka District,Kalembo Health Centre,e2BbPCS6onK,,1,4.0
Balaka District,Kankao Health Centre,vw3aBKn9gr8,,0,
Balaka District,Kwitanda Health Centre,Oe3ZB55rHMM,,0,
Balaka District,Mbera Health Centre,PUNjOIGVl51,,0,
Balaka District,Namanolo Health Centre,gsubf9MpEjh,,0,
Balaka District,Namdumbo Health Centre,BwEg8sO4JcM,,0,
Balaka District,Phalula Health Centre,vOFr1Y5AGDM,,0,
Balaka District,Phimbi Health Centre,gNVHEwQJXfu,,0,
Balaka District,Ulongwe Health Centre,wt2ifn34fbh,,0,
Balaka District,Utale 1 Health Centre,UsoYnNpdr3p,,0,
Balaka District,Utale 2 Health Centre,UfM4EKshWgf,,0,
Blantyre District,Amecca Chilaweni Health Centre,Qqi2VgL45aP,,0,
Blantyre District,Bangwe Health Centre,CooUqWcmf7G,,0,
Blantyre District,Bangwe Madina Health Centre,fY0UjBQmlCZ,,0,
Blantyre District,Blantyre Adventist Hospital,AdCNm3oMcPb,,0,
Blantyre District,Blantyre City Assembly Clinic,t3w5ziabXaq,,0,
Blantyre District,Blantyre Dream Project,yx1Vb0LHU0Q,,0,
Blantyre District,Blantyre Water Board Clinic,jXklNOGY5DG,,0,
Blantyre District,Blm Lunzu,Hjy27sGrC9h,,0,
Blantyre District,Carlsberg / Sobo Clinic Blantyre,wFF5AKgL8OJ,,0,
Blantyre District,Central East African Railways Clinic,qV3zftLuBOo,,0,
Blantyre District,Chavala Health Centre,HQs3DdEtFWL,,0,
Blantyre District,Chichiri Escom Clinic,VUDZNN4khdx,,0,
Blantyre District,Chichiri Prison Clinic,ba5wENq4nvr,,0,
Blantyre District,Chikowa Health Centre,HZWcSG1nCko,,0,
Blantyre District,Chileka Health Centre Blantyre,A4wKSW3JCSa,,0,
Blantyre District,Chileka Sda Health Centre,sTRVC9nwydA,,0,
Blantyre District,Chilomoni Health Centre,ZNas7N99VV9,,0,
Blantyre District,Chilomoni Private Clinic,UZgprewQxKn,,0,
Blantyre District,Chimembe Health Centre,x6AuCKiVUiu,,0,
Blantyre District,Chirimba Health Centre,FZGZ1KiZbSB,,0,
Blantyre District,Chitawira Private Hospital,DK51GWfw23i,,0,
Blantyre District,Dziwe Health Centre,GbEISHbiYFR,,0,
Blantyre District,El-barakah Private Clinic,GQeLfTlJS9T,,0,
Blantyre District,Gateway Clinic,rmF1Va9ka8y,,0,
Blantyre District,Kadidi Health Centre,RWxc4UXRC5n,,0,
Blantyre District,Kanjedza Police Clinic,WeUGt5ZQKsb,,0,
Blantyre District,Kapeni Dream Centre,wDcmsIMGzva,,0,
Blantyre District,Lafarge Cement Clinic,t2PLWXfIt5X,,0,
Blantyre District,Limbe Diagnostic Centre,hIo3gD9KH0P,,0,
Blantyre District,Limbe Health Centre,tx1JpvVodyr,,0,
Blantyre District,Limbe Leaf Tobacco Clinic Limbe,YS1oS4MFtIL,,0,
Blantyre District,Lirangwe Health Centre,n6SzPXk9Lfn,,0,
Blantyre District,Lumbira / Mitsidi Health Centre,mmd1wQLXsSA,,0,
Blantyre District,Lundu Health Centre,lbEEzf3qHMe,,0,
Blantyre District,Macro Blantyre,gz0w6YH0kdk,,0,
Blantyre District,Madziabango Health Centre,IsSEtSq2Omo,,0,
Blantyre District,Makata Dispensary Ndirande,S4cgVbvfBX3,,0,
Blantyre District,Makata Health Centre Lunzu,JJFFoU2ujs6,,0,
Blantyre District,Makhetha Clinic,qk4qLxCWxHr,,0,
Blantyre District,Malabada Health Centre,cqqwXcj60bP,,0,
Blantyre District,Malamulo Day Clinic,yg5ZmNNTsYV,,0,
Blantyre District,Malmed Private Clinic,KmrBHDy2zHs,,0,
Blantyre District,Masm Medi Clinic Limbe,qIQTrfJNzRb,,0,
Blantyre District,Mbayani Health Centre,phww7qBpguW,,0,
Blantyre District,Mdeka Health Centre,LAI4PuMbYyS,,0,
Blantyre District,Medicare City Centre Clinic / City Centre Clinic / Makadam Pvt Clinic,EfwWfNUJtK9,,0,
Blantyre District,Merit Private Clinic,UjnHkll4Ric,,0,
Blantyre District,Mlambe Mission Hospital,fCenBEM3azP,,0,
